File;Status;Steps;Status with cuts;Steps with cuts
./bench2/yes/array01.c ; eps ; 5044 ; eps ; 5045
./bench2/yes/array02.c ; eps ; 11641 ; eps ; 11643
./bench2/yes/array03.c ; eps ; 21402 ; eps ; 21428
./bench2/yes/assignment01.c ; eps ; 6386 ; eps ; 6387
./bench2/yes/decl01.c ; eps ; 3063 ; eps ; 3063
./bench2/yes/dowhile01.c ; eps ; 9641 ; eps ; 9651
./bench2/yes/enum01.c ; eps ; 5033 ; eps ; 5041
./bench2/yes/enum02.c ; eps ; 2686 ; eps ; 2690
./bench2/yes/enum03.c ; eps ; 5432 ; eps ; 5439
./bench2/yes/enum04.c ; eps ; 5115 ; eps ; 5118
./bench2/yes/expand.c ; eps ; 16297 ; eps ; 16316
./bench2/yes/expbinand.c ; eps ; 16113 ; eps ; 16132
./bench2/yes/expbinor.c ; eps ; 16185 ; eps ; 16204
./bench2/yes/expor.c ; eps ; 16349 ; eps ; 16368
./bench2/yes/expor02.c ; eps ; 27431 ; eps ; 27457
./bench2/yes/expunary01.c ; eps ; 5502 ; eps ; 5506
./bench2/yes/expxor.c ; eps ; 16145 ; eps ; 16164
./bench2/yes/for01.c ; eps ; 26685 ; eps ; 26718
./bench2/yes/for02.c ; eps ; 30697 ; eps ; 30719
./bench2/yes/function01.c ; eps ; 15285 ; eps ; 15296
./bench2/yes/function02.c ; eps ; 38923 ; eps ; 38955
./bench2/yes/global01.c ; eps ; 2340 ; eps ; 2340
./bench2/yes/goto01.c ; eps ; 9712 ; eps ; 9718
./bench2/yes/goto02.c ; eps ; 6423 ; eps ; 6427
./bench2/yes/if01.c ; eps ; 15027 ; eps ; 15042
./bench2/yes/if02.c ; eps ; 10621 ; eps ; 10630
./bench2/yes/main01.c ; eps ; 3624 ; eps ; 3626
./bench2/yes/main02.c ; eps ; 5017 ; eps ; 5019
./bench2/yes/pointer01.c ; eps ; 6824 ; eps ; 6828
./bench2/yes/struct01.c ; eps ; 4143 ; eps ; 4147
./bench2/yes/struct02.c ; eps ; 3525 ; eps ; 3529
./bench2/yes/struct03.c ; eps ; 15425 ; eps ; 15445
./bench2/yes/struct04.c ; eps ; 15479 ; eps ; 15499
./bench2/yes/switch01.c ; eps ; 23161 ; eps ; 23190
./bench2/yes/switch02.c ; eps ; 9703 ; eps ; 9713
./bench2/yes/switch03.c ; eps ; 9265 ; eps ; 9274
./bench2/yes/switch04.c ; eps ; 14027 ; eps ; 14040
./bench2/yes/ternary01.c ; eps ; 15189 ; eps ; 15205
./bench2/yes/ternary02.c ; eps ; 5695 ; eps ; 5699
./bench2/yes/while01.c ; eps ; 6414 ; eps ; 6419
./bench2/yes/while02.c ; eps ; 14996 ; eps ; 15007
./bench2/yes/while03.c ; eps ; 18959 ; eps ; 18979
./bench2/yes/while04.c ; eps ; 19164 ; eps ; 19191
./bench2/no/braces01.c ; fail ; 3280 ; error ; 787
./bench2/no/braces02.c ; fail ; 5733 ; error ; 1584
./bench2/no/braces03.c ; fail ; 8342 ; error ; 5560
./bench2/no/brack01.c ; fail ; 4303 ; fail ; 4304
./bench2/no/brack02.c ; fail ; 6802 ; error ; 3651
./bench2/no/brack03.c ; fail ; 7838 ; error ; 3682
./bench2/no/brackIf01.c ; fail ; 5979 ; error ; 2789
./bench2/no/brackSwitch01.c ; fail ; 6640 ; error ; 3482
./bench2/no/brackWhile01.c ; fail ; 6061 ; error ; 2908
./bench2/no/brackWhile02.c ; fail ; 10324 ; error ; 7181
./bench2/no/colon01.c ; fail ; 17150 ; error ; 13374
./bench2/no/colon02.c ; fail ; 15449 ; error ; 5513
./bench2/no/declAfterComma01.c ; fail ; 3526 ; fail ; 3527
./bench2/no/endComment01.c ; fail ; 3680 ; error ; 2753
./bench2/no/enum05.c ; fail ; 8524 ; fail ; 8532
./bench2/no/enumeratorComma01.c ; fail ; 4004 ; error ; 1059
./bench2/no/exprAnd01.c ; fail ; 9016 ; error ; 3732
./bench2/no/exprComma01.c ; fail ; 27098 ; error ; 23980
./bench2/no/exprExcOr01.c ; fail ; 9028 ; error ; 3742
./bench2/no/exprIncOr01.c ; fail ; 9056 ; error ; 3752
./bench2/no/exprLogAnd01.c ; fail ; 9151 ; error ; 3785
./bench2/no/exprLogOr01.c ; fail ; 9183 ; error ; 3800
./bench2/no/identifier01.c ; fail ; 5934 ; error ; 2796
./bench2/no/identifier02.c ; fail ; 16626 ; error ; 7707
./bench2/no/identifier03.c ; fail ; 18329 ; error ; 7595
./bench2/no/invalidDecl01.c ; fail ; 972 ; fail ; 973
./bench2/no/invalidExpr01.c ; fail ; 4291 ; error ; 1338
./bench2/no/invalidExpr02.c ; fail ; 17112 ; error ; 13335
./bench2/no/invalidExpr03.c ; fail ; 10100 ; error ; 6308
./bench2/no/invalidExpr04.c ; fail ; 7758 ; error ; 3662
./bench2/no/invalidExpr05.c ; fail ; 7484 ; error ; 4327
./bench2/no/invalidExpr06.c ; fail ; 6912 ; error ; 3760
./bench2/no/invalidExpr07.c ; fail ; 11175 ; error ; 8033
./bench2/no/invalidExpr08.c ; fail ; 9119 ; error ; 5293
./bench2/no/invalidExpr09.c ; fail ; 22994 ; error ; 7704
./bench2/no/invalidExpr10.c ; fail ; 18066 ; error ; 9123
./bench2/no/invalidExprCond101.c ; fail ; 8097 ; error ; 3086
./bench2/no/invalidExprCond201.c ; fail ; 8714 ; error ; 3705
./bench2/no/invalidExprInc01.c ; fail ; 9826 ; error ; 3427
./bench2/no/invalidExprUnary01.c ; fail ; 9918 ; error ; 4726
./bench2/no/invalidSizeof01.c ; fail ; 15375 ; error ; 5928
./bench2/no/multBrack01.c ; fail ; 9689 ; error ; 6549
./bench2/no/multEnumeratorBraces01.c ; fail ; 3286 ; fail ; 3287
./bench2/no/multExpr01.c ; fail ; 7997 ; error ; 4875
